"filename", "language", "Dart", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\generic_report_page.dart", "Dart", 159, 0, 0, 2, 10, 171
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\main_agent_screen.dart", "Dart", 40, 0, 0, 4, 6, 50
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\main_report_page.dart", "Dart", 1595, 0, 0, 256, 138, 1989
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\map_detail_page.dart", "Dart", 33, 0, 0, 0, 3, 36
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\map_pages\map_detail_page_google.dart", "Dart", 1040, 0, 0, 102, 124, 1266
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\map_pages\map_detail_page_osm.dart", "Dart", 1604, 0, 0, 168, 171, 1943
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\map_pages\map_detail_page_yandex.dart", "Dart", 1046, 0, 0, 114, 134, 1294
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\order_details_page.dart", "Dart", 261, 0, 0, 18, 27, 306
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\orders_page.dart", "Dart", 412, 0, 0, 33, 49, 494
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\prices_page.dart", "Dart", 1036, 0, 0, 67, 75, 1178
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\reports_page.dart", "Dart", 736, 0, 0, 658, 52, 1446
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\settings_page.dart", "Dart", 1547, 0, 0, 28, 116, 1691
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\shared\new_ui_for_agent.dart", "Dart", 642, 0, 0, 24, 87, 753
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\step_pages\competitor_audit_page.dart", "Dart", 137, 0, 0, 2, 9, 148
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\step_pages\create_order_page.dart", "Dart", 2011, 0, 0, 218, 150, 2379
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\step_pages\photo_facing_after_page.dart", "Dart", 1134, 0, 0, 117, 117, 1368
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\step_pages\photo_facing_before_page.dart", "Dart", 1134, 0, 0, 117, 115, 1366
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\step_pages\product_selection_page.dart", "Dart", 1566, 0, 0, 130, 109, 1805
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\step_pages\shelf_audit_page.dart", "Dart", 137, 0, 0, 2, 9, 148
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\trading_points_page.dart", "Dart", 2974, 0, 0, 257, 287, 3518
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\visit_steps_page.dart", "Dart", 1474, 0, 0, 138, 193, 1805
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\visits_report_page.dart", "Dart", 161, 0, 0, 1, 14, 176
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\warehouses_page.dart", "Dart", 477, 0, 0, 11, 31, 519
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\shared\formatters.dart", "Dart", 5, 0, 0, 3, 5, 13
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\shared\order_status_utils.dart", "Dart", 30, 0, 0, 3, 6, 39
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\widgets\contract_models.dart", "Dart", 33, 0, 0, 0, 6, 39
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\widgets\contracts_filters_panel.dart", "Dart", 138, 0, 0, 3, 9, 150
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\widgets\data_persistence_widgets.dart", "Dart", 764, 0, 0, 14, 61, 839
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\widgets\data_sync_progress_widget.dart", "Dart", 171, 0, 0, 7, 21, 199
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\widgets\modern_date_range_picker.dart", "Dart", 399, 0, 0, 16, 32, 447
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\widgets\order_card.dart", "Dart", 89, 0, 0, 3, 8, 100
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\widgets\order_card_grid.dart", "Dart", 198, 0, 0, 9, 17, 224
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\widgets\order_detail_sections.dart", "Dart", 88, 0, 0, 4, 8, 100
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\widgets\order_filters_panel.dart", "Dart", 89, 0, 0, 3, 8, 100
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\widgets\order_models.dart", "Dart", 96, 0, 0, 0, 7, 103
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\widgets\status_chip.dart", "Dart", 27, 0, 0, 3, 3, 33
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\widgets\trading_points_filters_panel.dart", "Dart", 96, 0, 0, 5, 6, 107
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\widgets\visit_indicators.dart", "Dart", 117, 0, 0, 3, 14, 134
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\widgets\yandex_map_builder.dart", "Dart", 344, 0, 0, 78, 60, 482
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\services\order_draft_service.dart", "Dart", 429, 0, 0, 63, 64, 556
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\services\photo_storage_service.dart", "Dart", 235, 0, 0, 41, 49, 325
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\services\visit_step_data_service.dart", "Dart", 287, 0, 0, 39, 53, 379
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\services\visit_step_error_recovery_service.dart", "Dart", 258, 0, 0, 36, 62, 356
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\services\visit_step_performance_monitor.dart", "Dart", 444, 0, 0, 51, 92, 587
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\services\visit_step_validation_service.dart", "Dart", 490, 0, 0, 37, 80, 607
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\auth\data\models\user_model.dart", "Dart", 103, 0, 0, 2, 7, 112
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\auth\data\repositories\auth_repository_impl.dart", "Dart", 69, 0, 0, 4, 10, 83
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\auth\domain\entities\user_entity.dart", "Dart", 31, 0, 0, 0, 3, 34
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\auth\domain\repositories\auth_repository.dart", "Dart", 7, 0, 0, 1, 2, 10
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\auth\presentation\bloc\auth_bloc.dart", "Dart", 96, 0, 0, 11, 18, 125
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\auth\presentation\bloc\auth_event.dart", "Dart", 16, 0, 0, 0, 5, 21
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\auth\presentation\bloc\auth_state.dart", "Dart", 30, 0, 0, 0, 11, 41
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\auth\presentation\pages\login_page.dart", "Dart", 617, 0, 0, 65, 48, 730
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\boss\presentation\pages\boss_home_page.dart", "Dart", 331, 0, 0, 11, 15, 357
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\collector\presentation\pages\collector_home_page.dart", "Dart", 310, 0, 0, 3, 14, 327
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\forwarder\presentation\pages\forwarder_home_page.dart", "Dart", 186, 0, 0, 2, 9, 197
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\marketing\data\models\promotion_model.dart", "Dart", 213, 0, 0, 3, 22, 238
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\marketing\presentation\pages\marketing_page.dart", "Dart", 71, 0, 0, 1, 6, 78
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\marketing\presentation\pages\promotion_detail_page.dart", "Dart", 591, 0, 0, 174, 41, 806
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\marketing\presentation\pages\promotions_page.dart", "Dart", 289, 0, 0, 1, 34, 324
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\marketing\presentation\widgets\promotion_card.dart", "Dart", 115, 0, 0, 3, 4, 122
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\marketing\presentation\widgets\promotion_card_shimmer.dart", "Dart", 69, 0, 0, 6, 3, 78
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\navbars\agent_bottom_nav_bar.dart", "Dart", 59, 0, 0, 0, 7, 66
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\navbars\fluid_nav_bar.dart", "Dart", 179, 0, 0, 7, 22, 208
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\packer\presentation\pages\packer_home_page.dart", "Dart", 421, 0, 0, 6, 21, 448
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\warehouse_manager\presentation\pages\warehouse_manager_home_page.dart", "Dart", 497, 0, 0, 9, 31, 537
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\theme\theme_controller.dart", "Dart", 38, 0, 0, 9, 10, 57
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\theme\theme_schemes.dart", "Dart", 105, 0, 0, 9, 11, 125
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\theme\theme_toggle.dart", "Dart", 102, 0, 0, 4, 5, 111
"Total", "-", 63349, 415, 1347, 7183, 8258, 80552
