"filename", "language", "Dart", "JSON", "YAML", "Markdown", "comment", "blank", "total"
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\create_order.dart", "Dart", 539, 0, 0, 0, 5, 32, 576
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\district_contracting.dart", "Dart", 58, 0, 0, 0, 0, 9, 67
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\kpi_data.dart", "Dart", 111, 0, 0, 0, 0, 7, 118
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\main_report.dart", "Dart", 89, 0, 0, 0, 0, 4, 93
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\order.dart", "Dart", 167, 0, 0, 0, 0, 7, 174
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\order_detail.dart", "Dart", 305, 0, 0, 0, 0, 23, 328
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\order_status.dart", "Dart", 42, 0, 0, 0, 0, 7, 49
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\planned_route.dart", "Dart", 81, 0, 0, 0, 4, 7, 92
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\price_type.dart", "Dart", 66, 0, 0, 0, 1, 9, 76
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\product_balance.dart", "Dart", 139, 0, 0, 0, 0, 7, 146
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\product_brand.dart", "Dart", 46, 0, 0, 0, 0, 7, 53
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\product_data.dart", "Dart", 146, 0, 0, 0, 0, 7, 153
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\product_image.dart", "Dart", 220, 0, 0, 0, 14, 13, 247
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\product_price.dart", "Dart", 84, 0, 0, 0, 1, 9, 94
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\data\models\product_series.dart", "Dart", 52, 0, 0, 0, 0, 7, 59
